INSTNM,STABBR,ADM_RATE,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT
Toledo Public Schools Adult and Continuing Education,OH,NULL,145,0.2759,0.6345,0.0483,0,0,0,0.0276,0,0.0138,NULL,NULL,NULL
Notre Dame College,OH,0.9024,1792,0.6496,0.2215,0.0167,0.0156,0.0045,0.0045,0.0151,0.0257,0.0469,36250,26344,26344
Northeast Ohio Medical University,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Northwestern Ohio,OH,NULL,4104,0.6589,0.0307,0.0246,0.0019,0.0024,0.001,0.0007,0.0202,0.2595,20431,9565,9565
Oberlin College,OH,0.3041,2894,0.6952,0.0549,0.0729,0.0422,0.001,0.0003,0.0546,0.0681,0.0107,59683,46870,46870
Ohio College of Massotherapy Inc,OH,NULL,103,0.699,0.2913,0.0097,0,0,0,0,0,0,25618,8475,8475
Ohio Technical College,OH,NULL,1119,0.731,0.1591,0.0599,0.0071,0.0009,0.0009,0.0214,0,0.0197,NULL,NULL,NULL
Ohio Dominican University,OH,0.494,1483,0.6258,0.263,0.031,0.0115,0.004,0.0013,0.0378,0.0074,0.0182,40370,28932,28932
Kaplan College-Dayton,OH,NULL,404,0.604,0.3391,0.0248,0.0099,0.0074,0.005,0,0,0.0099,NULL,NULL,NULL
Ohio Northern University,OH,0.6785,2205,0.854,0.0372,0.0168,0.0122,0.0005,0.0009,0.0322,0.0449,0.0014,49618,36720,36720
Ohio State University Agricultural Technical Institute,OH,NULL,628,0.9459,0.0096,0.0111,0.0016,0.0032,0.0016,0.0096,0,0.0175,20810,7104,22824
Ohio State University-Lima Campus,OH,NULL,1008,0.8681,0.0427,0.0248,0.0149,0.003,0,0.0228,0.002,0.0218,15637,7140,22860
Ohio State University-Mansfield Campus,OH,NULL,1121,0.8448,0.0731,0.0223,0.0143,0.0009,0,0.0223,0,0.0223,18551,7140,22860
Ohio State University-Marion Campus,OH,NULL,1192,0.8138,0.0612,0.026,0.0461,0.005,0.0008,0.0218,0,0.0252,15170,7140,22860
Ohio State University-Newark Campus,OH,NULL,2205,0.7361,0.1347,0.0286,0.0327,0.0036,0.0005,0.0376,0,0.0263,18554,7140,22860
Ohio State Beauty Academy,OH,NULL,171,0.848,0.0702,0.0292,0,0,0,0.0526,0,0,NULL,NULL,NULL
Ohio State College of Barber Styling,OH,NULL,142,0.162,0.7394,0.0282,0.0141,0.007,0,0,0,0.0493,NULL,NULL,NULL
The Spa School,OH,NULL,61,0.623,0.2623,0,0.1148,0,0,0,0,0,NULL,NULL,NULL
Ohio State School of Cosmetology-Canal Winchester,OH,NULL,89,0.4831,0.4831,0.0225,0.0112,0,0,0,0,0,NULL,NULL,NULL
Ohio State University-Main Campus,OH,0.5553,43139,0.7233,0.0598,0.0338,0.0539,0.0016,0.0006,0.0263,0.0743,0.0263,24524,10037,25757
Ohio University-Eastern Campus,OH,NULL,1010,0.8743,0.0366,0.0267,0.002,0.001,0,0.0376,0.002,0.0198,12274,4778,6624
Ohio University-Chillicothe Campus,OH,NULL,2219,0.8878,0.0374,0.0122,0.0054,0.0018,0.0005,0.0347,0.0063,0.014,14342,4974,9510
Ohio University-Southern Campus,OH,NULL,1841,0.8881,0.0315,0.0158,0.0038,0.0043,0.0011,0.0315,0.0011,0.0228,14192,4778,6624
Ohio University-Lancaster Campus,OH,NULL,2340,0.8667,0.05,0.0158,0.0056,0.0013,0.0004,0.0321,0.0124,0.0158,14041,4974,9510
Ohio University-Main Campus,OH,0.7295,23331,0.8324,0.0473,0.024,0.0091,0.0017,0.0008,0.0258,0.0442,0.0146,23605,10446,19410
Ohio University-Zanesville Campus,OH,NULL,1899,0.8831,0.0321,0.019,0.0042,0.0016,0.0011,0.0369,0.0042,0.0179,12661,4982,9510
Ohio Valley College of Technology,OH,NULL,183,0.9563,0.0328,0,0,0,0,0.0055,0,0.0055,18163,11698,11698
Trinity Health System School of Nursing,OH,1,87,0.954,0.046,0,0,0,0,0,0,0,NULL,7120,7120
Ohio Wesleyan University,OH,0.7533,1817,0.7226,0.0611,0.0457,0.0264,0.0017,0,0.0413,0.0748,0.0264,52819,40510,40510
Otterbein University,OH,0.7374,2436,0.8046,0.0628,0.0242,0.0148,0.0029,0.0004,0.0296,0.0218,0.039,41646,31424,31424
Owens Community College,OH,NULL,13251,0.7202,0.1407,0.0723,0.0106,0.0043,0.0008,0.0242,0.0046,0.0223,10364,3826,7040
Paramount Beauty Academy,OH,NULL,101,0.9802,0.0198,0,0,0,0,0,0,0,NULL,NULL,NULL
Cuyahoga Valley Career Center,OH,1,106,0.6226,0.3208,0.0283,0.0283,0,0,0,0,0,NULL,NULL,NULL
Payne Theological Seminary,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pontifical College Josephinum,OH,NULL,135,0.8222,0.0148,0.0963,0.0296,0,0,0,0.037,0,35748,20614,20614
Professional Skills Institute,OH,0.4824,311,0.6302,0.2958,0.0289,0.0193,0,0,0.0129,0,0.0129,30617,15318,15318
Firelands Regional Medical Center School of Nursing,OH,NULL,99,0.9495,0.0202,0,0.0202,0,0,0.0101,0,0,NULL,NULL,NULL
Rabbinical College Telshe,OH,0.875,56,1,0,0,0,0,0,0,0,0,15660,9600,9600
Raphael's School of Beauty Culture Inc-Niles,OH,NULL,145,0.6069,0.3172,0.0552,0,0,0,0.0207,0,0,NULL,NULL,NULL
Fortis College-Centerville,OH,NULL,2802,0.2502,0.0817,0.0032,0.0025,0.0014,0,0.0021,0.0011,0.6577,26549,11586,11586
University of Rio Grande,OH,NULL,1419,0.8316,0.0557,0.0085,0.0014,0.0035,0,0.0014,0.0099,0.0881,30944,20780,20780
Advertising Art Educational Services DBA School of Advertising Art,OH,0.6609,140,0.9214,0.0357,0.0071,0.0214,0,0,0.0143,0,0,37702,23628,23628
Shawnee State University,OH,NULL,4110,0.8611,0.0562,0.0061,0.0039,0.0071,0.0015,0.0139,0.0097,0.0406,17742,7177,12291
Sinclair Community College,OH,NULL,16554,0.6658,0.1487,0.0252,0.0141,0.0049,0.0013,0.0199,0.0069,0.1133,7788,2304,6600
Gallipolis Career College,OH,NULL,105,0.9619,0.0286,0.0095,0,0,0,0,0,0,18570,11570,11570
Daymar College-New Boston,OH,NULL,87,0.9425,0.046,0,0,0,0,0.0115,0,0,NULL,18000,18000
Daymar College-Jackson,OH,NULL,77,0.9351,0.026,0,0.013,0,0,0.026,0,0,29943,18000,18000
Daymar College-Lancaster,OH,NULL,69,0.8986,0.0145,0.0145,0,0,0,0.0725,0,0,29943,18000,18000
Daymar College-Chillicothe,OH,NULL,76,0.9342,0.0395,0,0,0,0,0.0263,0,0,29943,18000,18000
Brown Mackie College-Cincinnati,OH,NULL,1045,0.4536,0.5043,0.023,0.0067,0.0029,0.0019,0,0,0.0077,23598,12474,12474
Brown Mackie College-Akron,OH,NULL,694,0.5994,0.3357,0.0303,0.013,0.0086,0,0,0,0.013,23295,12114,12114
Lincoln College of Technology-Tri-County,OH,NULL,114,0.6316,0.2193,0.0088,0.0263,0.0088,0,0.0702,0,0.0351,26020,NULL,NULL
Lincoln College of Technology-Dayton,OH,NULL,58,0.3966,0.5517,0.0172,0,0,0,0.0345,0,0,24963,NULL,NULL
Stark State College,OH,NULL,12995,0.6736,0.2226,0.0095,0.0087,0.0042,0.0004,0.0295,0.0001,0.0514,18123,3607,5791
Stautzenberger College-Maumee,OH,NULL,790,0.6266,0.2595,0.0709,0.0025,0.0025,0.0013,0.0215,0,0.0152,20242,10476,10476
Franciscan University of Steubenville,OH,0.7607,2055,0.8127,0.0049,0.1012,0.0165,0.0019,0.0005,0.0204,0.0097,0.0321,32761,23160,23160
Southern State Community College,OH,NULL,2019,0.9222,0.0243,0.0074,0.005,0.0035,0.0015,0.0154,0,0.0208,11258,4132,7752
Ohio Mid-Western College,OH,NULL,139,0.259,0.5036,0.0072,0,0.0144,0,0.0432,0.0288,0.1439,23584,10944,10944
Terra State Community College,OH,NULL,2339,0.8367,0.0462,0.0774,0.0047,0.003,0,0.0068,0.0026,0.0227,11609,4344,6824
Tiffin Academy of Hair Design,OH,NULL,42,0.9762,0.0238,0,0,0,0,0,0,0,NULL,NULL,NULL
Tiffin University,OH,0.3856,3309,0.3297,0.1677,0.0218,0.0027,0.0018,0,0.0257,0.0335,0.417,34771,20700,20700
University of Toledo,OH,0.9073,15440,0.6947,0.139,0.0447,0.0233,0.0021,0.0008,0.025,0.0443,0.0262,21263,9275,18395
Kaplan Career Institute-Cleveland,OH,NULL,281,0.2883,0.516,0.1388,0,0.0071,0,0,0,0.0498,NULL,NULL,NULL
Tri-State Bible College,OH,NULL,59,0.4746,0.5254,0,0,0,0,0,0,0,NULL,7700,7700
Tri-County Adult Career Center,OH,NULL,129,0.9457,0.0155,0.0078,0.0078,0,0,0.0233,0,0,NULL,NULL,NULL
Tri-Rivers Career Center,OH,NULL,158,0.9367,0.0316,0.0063,0.0063,0,0,0.019,0,0,NULL,NULL,NULL
Trinity Lutheran Seminary,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Trumbull Business College,OH,NULL,236,0.7331,0.2288,0.0254,0,0,0,0.0127,0,0,28555,12389,12389
Union Institute & University,OH,NULL,1217,0.3969,0.2177,0.2498,0.0115,0.0058,0.0049,0.0279,0,0.0855,24093,11904,11904
Los Angeles Center,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11904,NULL
Florida Center,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11904,NULL
Sacramento Center,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11904,NULL
Montpelier Center - Closed July 2013,VT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Brattleboro Center - Closed July 2013,VT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
New England Center,VT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11904,NULL
United Theological Seminary,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Upper Valley Career Center,OH,NULL,73,0.9315,0.0411,0.0274,0,0,0,0,0,0,NULL,NULL,NULL
Urbana University,OH,NULL,1008,0.5784,0.1974,0.0149,0.003,0.0069,0.002,0.0169,0.0347,0.1458,31686,21566,21566
Ursuline College,OH,0.5782,798,0.6253,0.2794,0.0238,0.01,0.0025,0,0.0338,0.0138,0.0113,35976,26720,26720
Valley Beauty School,OH,NULL,29,0.9655,0.0345,0,0,0,0,0,0,0,NULL,NULL,NULL
Virginia Marti College of Art and Design,OH,0.8108,168,0.5655,0.3333,0.0536,0.006,0,0,0.0417,0,0,25839,17459,17459
Walsh University,OH,0.7713,2280,0.7825,0.0522,0.0228,0.0048,0.0022,0.0009,0.0215,0.0237,0.0895,34994,25840,25840
Washington State Community College,OH,NULL,1157,0.9533,0.0069,0.0121,0.0026,0.0043,0,0.0147,0,0.0061,12040,4235,8315
Western Hills School of Beauty and Hair Design,OH,NULL,259,0.1737,0.7876,0,0.0309,0.0039,0,0.0039,0,0,NULL,NULL,NULL
Wilberforce University,OH,0.5834,463,0.0302,0.9158,0.0043,0,0.0065,0.0022,0,0.0086,0.0324,24400,15140,15140
Wilmington College,OH,0.4603,1163,0.8014,0.0808,0.0009,0.0034,0.0026,0,0.043,0.0095,0.0585,39415,28190,28190
Winebrenner Theological Seminary,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Wittenberg University,OH,0.8932,1891,0.8144,0.0677,0.0286,0.01,0.0021,0,0.0428,0.0201,0.0143,50728,38030,38030
The College of Wooster,OH,0.5633,2070,0.7188,0.0792,0.0401,0.0338,0.0145,0.001,0,0.0725,0.0401,51300,41680,41680
Wright State University-Main Campus,OH,NULL,12161,0.7309,0.1235,0.028,0.0234,0.0021,0.0013,0.0387,0.0489,0.0032,20762,8542,16546
Wright State University-Lake Campus,OH,NULL,926,0.9114,0.0346,0.0194,0.0076,0.0011,0,0.0162,0.0097,0,14608,5740,13744
Xavier University,OH,0.6997,4452,0.7302,0.1,0.0449,0.0229,0.0027,0.0011,0.0252,0.0173,0.0557,45080,33000,33000
ITT Technical Institute-Youngstown,OH,0.6089,472,0.7521,0.1356,0.0254,0.0085,0.0064,0,0.0212,0,0.0508,26360,18048,18048
Youngstown State University,OH,NULL,11613,0.7486,0.1365,0.0326,0.009,0.003,0.0006,0.0186,0.0096,0.0415,17350,8129,8358
American Broadcasting School-Oklahoma City,OK,NULL,24,0.4583,0.5,0.0417,0,0,0,0,0,0,NULL,NULL,NULL
Bacone College,OK,0.7182,891,0.1908,0.2929,0.0786,0.0281,0.2604,0.0079,0.0325,0,0.1089,26400,14050,14050
Oklahoma Wesleyan University,OK,0.4934,1110,0.6757,0.0721,0.0712,0.0027,0.0712,0.0018,0.0351,0.0532,0.0171,32241,22252,22252
Southern Nazarene University,OK,NULL,1694,0.6706,0.1423,0.062,0.0283,0.0502,0.0053,0,0.0248,0.0165,31210,22044,22044
Broken Arrow Beauty College-Broken Arrow,OK,NULL,90,0.6667,0.0556,0.0222,0.0111,0.1667,0,0.0556,0.0222,0,NULL,NULL,NULL
Pontotoc Technology Center,OK,NULL,117,0.6068,0.0256,0.0256,0.0085,0.3077,0,0,0,0.0256,NULL,NULL,NULL
Cameron University,OK,NULL,5043,0.4807,0.1658,0.1192,0.0174,0.0621,0.0059,0.0781,0.042,0.0288,14852,5055,12495
Carl Albert State College,OK,NULL,2225,0.5879,0.0315,0.0467,0.0036,0.2112,0.0013,0.0858,0.0238,0.0081,10449,2808,5808
Central State Beauty Academy,OK,NULL,104,0.3846,0.3269,0.0769,0.0192,0.0673,0,0.125,0,0,NULL,NULL,NULL
University of Central Oklahoma,OK,0.8398,15119,0.5982,0.0888,0.074,0.0317,0.0405,0.0019,0.0696,0.0732,0.0221,16684,5437,13551
Claremore Beauty College,OK,NULL,17,0.8824,0,0,0,0.1176,0,0,0,0,NULL,NULL,NULL
Connors State College,OK,NULL,1880,0.5138,0.0926,0.0277,0.0032,0.3197,0,0.017,0.0239,0.0021,13115,3352,7578
East Central University,OK,0.9814,3757,0.5882,0.0389,0.0482,0.0043,0.1584,0.0013,0.0854,0.0583,0.017,13735,5241,12643
Eastern Oklahoma State College,OK,NULL,1477,0.5972,0.0616,0.0345,0.0014,0.258,0.0034,0.0264,0.002,0.0156,8757,3528,7145
Redlands Community College,OK,NULL,1521,0.6391,0.0559,0.071,0.0099,0.1368,0.0013,0.0164,0,0.0697,11719,3495,5795
Enid Beauty College,OK,NULL,43,0.907,0.0233,0.0465,0,0.0233,0,0,0,0,NULL,NULL,NULL
Eves College of Hairstyling,OK,NULL,86,0.593,0.1628,0.093,0,0.0233,0.0116,0.1163,0,0,NULL,NULL,NULL
Hillsdale Free Will Baptist College,OK,0.4331,195,0.6769,0.1231,0.0718,0.0051,0.1077,0,0,0,0.0154,23637,11600,11600
Hollywood Cosmetology Center,OK,NULL,17,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL
Langston University,OK,NULL,2062,0.0757,0.8817,0.0131,0.0087,0.0126,0.001,0.0005,0.0068,0,13531,3815,9239
Murray State College,OK,NULL,1802,0.5943,0.0494,0.0633,0.0022,0.162,0.0011,0.056,0.0483,0.0233,13665,4134,9292
Spartan College of Aeronautics and Technology,OK,1,817,0.5814,0.1175,0.1408,0.033,0.033,0,0.0771,0,0.0171,26339,15915,15915
Northeastern State University,OK,0.7337,7215,0.5185,0.0488,0.0371,0.0172,0.2266,0.0006,0.111,0.0147,0.0255,13296,4992,12012
Beauty Technical College Inc,OK,NULL,24,0.5,0,0,0,0.5,0,0,0,0,NULL,NULL,NULL
Northern Oklahoma College,OK,NULL,4205,0.765,0.0507,0.0592,0.0095,0.1051,0,0,0.0067,0.0038,10498,3019,7459
Northeastern Oklahoma A&M College,OK,NULL,2137,0.5924,0.0791,0.0267,0.0103,0.2106,0,0.0501,0.0253,0.0056,12946,3525,8280
Northwestern Oklahoma State University,OK,0.598,2005,0.6673,0.0693,0.0668,0.0065,0.0678,0.005,0.0045,0.0384,0.0743,13065,5642,11764
Oklahoma State University Center for Health Sciences,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Oklahoma Christian University,OK,0.6321,1949,0.8784,0.0385,0.0282,0.0334,0.0215,0,0,0,0,29359,18800,18800
University of Oklahoma-Health Sciences Center,OK,NULL,818,0.6809,0.0428,0.0709,0.0599,0.0416,0,0.088,0.0037,0.0122,NULL,NULL,NULL
Oklahoma Panhandle State University,OK,0.4767,1238,0.6365,0.1002,0.1575,0.0081,0.038,0,0.0202,0.0121,0.0275,15439,6739,6739
Oklahoma State University-Main Campus,OK,0.7602,20314,0.7222,0.05,0.0472,0.0153,0.0609,0.0001,0.0693,0.028,0.007,21338,7442,20027
Oklahoma State University-Oklahoma City,OK,NULL,6529,0.5687,0.1654,0.0908,0.0228,0.0427,0,0.079,0,0.0305,9634,2661,7224
Oklahoma Baptist University,OK,0.5646,1882,0.7056,0.0489,0.0473,0.0069,0.0484,0.0021,0.0744,0.0345,0.0319,31759,21842,21842
Oklahoma City Community College,OK,NULL,12594,0.5646,0.0857,0.0909,0.0383,0.0543,0.0032,0.0285,0.0639,0.0706,12221,3091,7891
Oklahoma City University,OK,0.7198,1954,0.5773,0.0619,0.0793,0.0205,0.0271,0,0.0681,0.1612,0.0046,41431,29426,29426
University of Oklahoma-Norman Campus,OK,0.8044,20528,0.6248,0.049,0.0885,0.056,0.0419,0.0018,0.0646,0.0388,0.0347,23263,8916,21105
Oklahoma School of Photography,OK,NULL,44,0.75,0.1364,0,0,0.1136,0,0,0,0,NULL,NULL,NULL
Oklahoma State University Institute of Technology,OK,NULL,2841,0.5593,0.0556,0.0517,0.0095,0.2038,0.0011,0.0732,0.0123,0.0334,12161,4395,10005
Oral Roberts University,OK,0.4354,2884,0.5201,0.1488,0.0752,0.0229,0.0329,0,0.0395,0.0579,0.1026,35070,22508,22508
Tulsa Technology Center-Peoria Campus,OK,NULL,624,0.6442,0.1314,0.1058,0.0176,0.101,0,0,0,0,NULL,NULL,NULL
Platt College-Central OKC,OK,NULL,200,0.47,0.29,0.135,0.025,0.05,0,0.025,0,0.005,NULL,NULL,NULL
Rogers State University,OK,0.5445,3957,0.5969,0.0316,0.0397,0.0182,0.1372,0.0013,0.1605,0.0094,0.0053,17213,5349,12005
Rose State College,OK,NULL,6427,0.5782,0.1705,0.054,0.0208,0.0566,0.0028,0.0759,0.0008,0.0403,12390,3104,9346
Saint Gregory's University,OK,0.9468,624,0.4824,0.0785,0.1474,0.0112,0.0962,0,0.0016,0.0032,0.1795,32671,20595,20595
Standard Beauty College of Oklahoma,OK,NULL,83,0.7711,0.0964,0.0241,0.0361,0.0482,0,0.012,0,0.012,NULL,NULL,NULL
University of Science and Arts of Oklahoma,OK,0.6246,864,0.6852,0.037,0.0602,0.0058,0.1146,0,0.0313,0.0648,0.0012,15440,4866,11298
Seminole State College,OK,NULL,1618,0.6193,0.0649,0.0321,0.0056,0.2497,0.0019,0.0019,0.0235,0.0012,14233,3425,8075
Southern School of Beauty Inc,OK,NULL,30,0.6,0.0333,0.0333,0,0.2667,0,0,0,0.0667,NULL,NULL,NULL
Southeastern Oklahoma State University,OK,0.7992,3363,0.5483,0.0562,0.0401,0.0062,0.1948,0.0015,0.1204,0.0324,0,14050,5315,13440
Southwestern Christian University,OK,0.884,801,0.397,0.2734,0.0699,0.0087,0.0337,0.0025,0.0375,0.0674,0.1099,22983,14220,14220
Southwestern Oklahoma State University,OK,0.9026,3985,0.6964,0.0507,0.0755,0.0173,0.0427,0.0013,0.0715,0.0289,0.0158,16660,5460,11820
Tulsa Community College,OK,NULL,14559,0.5853,0.1075,0.0742,0.0354,0.0828,0.0012,0.0713,0.015,0.0273,11414,2606,7048
Tulsa Welding School-Tulsa,OK,NULL,1094,0.4516,0.0777,0.1152,0.0018,0.1956,0,0.0229,0.0009,0.1344,NULL,NULL,NULL
University of Tulsa,OK,0.4059,3394,0.5524,0.0451,0.0418,0.0327,0.0392,0.0012,0.0171,0.2563,0.0141,46560,34835,34835
Virgil's Beauty College,OK,NULL,32,0.3438,0.3125,0.0625,0,0.25,0,0.0313,0,0,NULL,NULL,NULL
Indian Capital Technology Center-Tahlequah,OK,NULL,229,0.3406,0.0044,0.1048,0.0087,0.5284,0,0.0044,0.0044,0.0044,NULL,NULL,NULL
Western Oklahoma State College,OK,NULL,1306,0.4992,0.0957,0.1669,0.0107,0.0176,0.0023,0.0812,0.0176,0.1087,11634,3000,6871
Woodward Beauty College,OK,NULL,27,0.7778,0,0.1481,0,0.0741,0,0,0,0,NULL,NULL,NULL
High Plains Technology Center,OK,NULL,82,0.7317,0.0122,0.2073,0,0.0366,0,0.0122,0,0,NULL,NULL,NULL
Academy of Hair Design-Salem,OR,NULL,56,0.7679,0.0536,0.1786,0,0,0,0,0,0,NULL,NULL,NULL
Abdill Career College Inc,OR,NULL,80,0.8125,0.025,0.1375,0.025,0,0,0,0,0,NULL,NULL,NULL
Paul Mitchell the School-Portland,OR,NULL,88,0.875,0,0.0455,0,0.0227,0,0.0114,0,0.0455,NULL,NULL,NULL
The Art Institute of Portland,OR,NULL,1348,0.1847,0.0074,0.1031,0.026,0.0037,0.0007,0,0,0.6743,31642,17416,17416
Beau Monde College of Hair Design,OR,NULL,126,0.7302,0.119,0.1111,0.0079,0.0159,0,0.0079,0.0079,0,NULL,NULL,NULL
Blue Mountain Community College,OR,NULL,1550,0.6923,0.011,0.191,0.009,0.0277,0.0058,0.0368,0.0013,0.0252,14325,3998,11390
Central Oregon Community College,OR,NULL,6282,0.7585,0.0075,0.0807,0.0091,0.0194,0.0046,0.0218,0,0.0984,13931,3393,8541
Chemeketa Community College,OR,NULL,10393,0.6274,0.0142,0.1953,0.0153,0.0191,0.008,0.0362,0.0014,0.0829,11615,4320,11610
Clackamas Community College,OR,NULL,7355,0.6515,0.0175,0.1018,0.0344,0.0128,0.0037,0.0405,0.0063,0.1315,7448,4133,11558
Clatsop Community College,OR,NULL,801,0.7703,0.0037,0.1298,0.0175,0.0162,0.0012,0.02,0,0.0412,11193,4428,8406
College of Hair Design Careers,OR,NULL,68,0.7647,0,0.1176,0,0.0441,0,0.0588,0,0.0147,NULL,NULL,NULL
Concorde Career College-Portland,OR,1,925,0.6314,0.0314,0.1308,0.0454,0.0205,0.0108,0.0605,0,0.0692,NULL,NULL,NULL
Concordia University-Portland,OR,0.5592,1378,0.5435,0.0588,0.0689,0.0653,0.0203,0.0058,0.0065,0.0225,0.2083,35963,27492,27492
Sumner College,OR,NULL,263,0.673,0.1255,0.0951,0.0722,0,0.0076,0.0038,0,0.0228,NULL,NULL,NULL
East West College of the Healing Arts,OR,NULL,246,0.8537,0.0163,0.0285,0.0163,0.0244,0.0041,0.0447,0.0041,0.0081,NULL,NULL,NULL
Eastern Oregon University,OR,0.67,3422,0.7916,0.0286,0.0634,0.0222,0.0248,0.014,0.0073,0.0114,0.0365,18959,7530,16755
Phagans School of Hair Design-Portland,OR,NULL,132,0.6894,0.197,0.0606,0.0152,0.0152,0.0076,0,0,0.0152,NULL,NULL,NULL
New Hope Christian College-Eugene,OR,0.1594,179,0.648,0.0559,0.067,0.0279,0.0056,0.0335,0.095,0.0112,0.0559,21311,14750,14750
George Fox University,OR,0.7528,2358,0.704,0.0187,0.0725,0.0373,0.0042,0.0047,0.0496,0.0645,0.0445,41836,31120,31120
Phagans Grants Pass College of Beauty,OR,NULL,39,0.8974,0,0,0,0,0,0.0513,0,0.0513,NULL,NULL,NULL
ITT Technical Institute-Portland,OR,0.8341,605,0.7901,0.0529,0.0446,0.0545,0.0215,0.0033,0.0066,0,0.0264,27139,18048,18048
Lane Community College,OR,NULL,9805,0.6874,0.0212,0.0895,0.0125,0.019,0.0064,0.0508,0.0067,0.1064,13732,3776,8456
Lewis & Clark College,OR,0.6285,1985,0.6479,0.0217,0.0841,0.0605,0.0141,0.003,0.0076,0.0494,0.1118,53455,41928,41928
Linfield College-McMinnville Campus,OR,0.9219,1641,0.6435,0.0189,0.0945,0.0597,0.0104,0.0055,0.0999,0.0372,0.0305,45708,36310,36310
Linn-Benton Community College,OR,NULL,5480,0.7779,0.0102,0.0792,0.0243,0.0155,0.0051,0.0345,0.0179,0.0354,12996,4137,8757
Northwest College-Beaverton,OR,NULL,100,0.67,0,0.27,0.04,0,0.02,0,0,0,NULL,NULL,NULL
Marylhurst University,OR,0.3889,672,0.7679,0.0342,0.0759,0.0164,0.006,0.0089,0.0387,0.0223,0.0298,34155,19665,19665
Phagans Medford Beauty School,OR,NULL,67,0.7463,0,0.1493,0,0,0,0.0746,0,0.0299,NULL,NULL,NULL
Northwest College-Clackamas,OR,NULL,141,0.8156,0.0638,0.0638,0.0213,0.0142,0,0.0213,0,0,NULL,NULL,NULL
Mount Angel Seminary,OR,1,70,0.4143,0.0286,0.3429,0.1,0,0.0429,0,0.0714,0,31917,19018,19018
Mt Hood Community College,OR,NULL,8530,0.6326,0.0583,0.095,0.0584,0.013,0.0062,0.0317,0.0055,0.0994,14521,4602,10002
Multnomah University,OR,0.538,438,0.8037,0.0251,0.0708,0.0228,0.0046,0.0068,0.0434,0.0046,0.0183,33878,21850,21850
National College of Natural Medicine,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Northwest Nannies Institute,OR,0.8,21,0.6667,0,0,0.0476,0,0,0.2381,0,0.0476,NULL,NULL,NULL
Northwest Christian University,OR,0.7044,478,0.8117,0.0188,0.0774,0.0272,0.0209,0.0021,0.0272,0,0.0146,34807,24930,24930
Oregon Health & Science University,OR,NULL,832,0.7644,0.0144,0.0577,0.0577,0.006,0.0012,0.0505,0.0012,0.0469,NULL,NULL,NULL
Oregon Institute of Technology,OR,0.7135,3443,0.7511,0.0119,0.0746,0.0561,0.0096,0.0058,0.0485,0.0105,0.0319,18801,8548,22188
Oregon College of Art and Craft,OR,0.3053,139,0.6259,0.0072,0.1079,0.0216,0.0144,0.0216,0.0935,0,0.1079,35850,27145,27145
Oregon State University,OR,0.7894,22349,0.6897,0.0128,0.0733,0.0662,0.0069,0.0042,0.0575,0.057,0.0325,22974,8322,23514
University of Oregon,OR,0.7417,20473,0.6425,0.0199,0.0813,0.0513,0.0052,0.0048,0.0584,0.1242,0.0126,22390,9763,29788
Pacific Northwest College of Art,OR,0.6474,413,0.7482,0.0097,0.0508,0.0363,0.0169,0.0024,0.0993,0.0121,0.0242,43235,32417,32417
Pacific University,OR,0.8619,1729,0.5281,0.0139,0.1035,0.1313,0.011,0.0237,0.118,0.0174,0.0532,47922,37024,37024
Phagans Beauty College,OR,NULL,53,0.8302,0.0189,0.0755,0,0.0189,0,0.0566,0,0,NULL,NULL,NULL
Phagans Central Oregon Beauty College,OR,NULL,133,0.8496,0,0.0752,0,0.0301,0,0.0301,0,0.015,NULL,NULL,NULL
Phagans School of Beauty,OR,NULL,49,0.4694,0,0.3469,0.0408,0.0204,0,0.0816,0,0.0408,NULL,NULL,NULL
