INSTNM,STABBR,ADM_RATE,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT
University of Alaska Fairbanks,AK,NULL,5729,0.4486,0.0229,0.0504,0.0133,0.1403,0.0023,0.0424,0.0119,0.2679,15035,4984,15560
University of Alaska Southeast,AK,NULL,1488,0.4751,0.0081,0.0551,0.0276,0.1142,0.0155,0.0605,0.0067,0.2372,16409,5693,16269
Alaska Pacific University,AK,0.3745,340,0.5441,0.0294,0.0353,0.0176,0.1706,0.0059,0.0971,0,0.1,42925,29810,29810
AVTEC-Alaska's Institute of Technology,AK,0.4888,1347,0.5702,0.0171,0.0364,0.0082,0.1715,0.0052,0.0431,0,0.1485,NULL,NULL,NULL
Charter College-Anchorage,AK,NULL,2191,0.429,0.0374,0.3241,0.0196,0.042,0.0602,0.0612,0,0.0265,21163,19882,19882
Prince William Sound Community College,AK,NULL,134,0.3657,0,0.0672,0,0.0597,0,0.0075,0.0149,0.4851,12434,4448,4448
Alaska Career College,AK,NULL,335,0.4,0.1164,0.0806,0.1493,0.1851,0.009,0.0478,0,0.0119,NULL,NULL,NULL
Everest College-Phoenix,AZ,NULL,2761,0.389,0.3158,0.1268,0.0058,0.0283,0.0076,0.0391,0.0004,0.0873,25089,12960,12960
Collins College,AZ,NULL,254,0.3465,0.0827,0.1614,0.0079,0.0276,0.0118,0.0236,0,0.3386,NULL,NULL,NULL
Empire Beauty School-Paradise Valley,AZ,NULL,43,0.6047,0.0698,0.1628,0,0.0465,0.0465,0.0233,0,0.0465,NULL,NULL,NULL
Empire Beauty School-Tucson,AZ,NULL,175,0.2343,0.1029,0.5657,0.0114,0.0629,0,0.0171,0,0.0057,NULL,NULL,NULL
Thunderbird School of Global Management,AZ,NULL,2,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL
Global MBA Latin American Managers Program Satellite Campus,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American Indian College of the Assemblies of God Inc,AZ,NULL,77,0.0649,0.1169,0.1948,0,0.5584,0.0649,0,0,0,20601,12000,12000
American Institute of Technology,AZ,NULL,278,0.5144,0.241,0.1331,0.0144,0.0072,0.0216,0,0,0.0683,NULL,NULL,NULL
Carrington College-Phoenix,AZ,1,676,0.2618,0.0784,0.5429,0.0044,0.0799,0.0059,0.0118,0,0.0148,NULL,NULL,NULL
Carrington College-Mesa,AZ,1,691,0.4486,0.0463,0.3343,0.026,0.1172,0.0072,0.0072,0,0.013,NULL,NULL,NULL
Carrington College-Tucson,AZ,1,440,0.2614,0.0364,0.6136,0.0023,0.0477,0.0045,0.0136,0,0.0205,NULL,NULL,NULL
College America-Flagstaff,AZ,NULL,209,0.2727,0.0144,0.1053,0,0.6029,0,0.0048,0,0,26842,17211,17211
Arizona Academy of Beauty-East,AZ,NULL,47,0.383,0.0213,0.4894,0.0213,0.0213,0,0.0638,0,0,NULL,NULL,NULL
Arizona Automotive Institute,AZ,NULL,505,0.3723,0.1129,0.3149,0.0079,0.1505,0.002,0.002,0,0.0376,NULL,NULL,NULL
Brookline College-Phoenix,AZ,NULL,828,0.3249,0.2077,0.2512,0.0193,0.0797,0.0048,0.0145,0.0229,0.0749,NULL,NULL,NULL
Arizona State University-Tempe,AZ,0.8023,38480,0.5755,0.0398,0.1853,0.0677,0.0136,0.0025,0.0376,0.0715,0.0066,21960,9861,23654
Arizona Western College,AZ,NULL,7442,0.1892,0.0325,0.6517,0.0106,0.0114,0.0035,0.0008,0.072,0.0282,14337,2420,7895
University of Arizona,AZ,0.7692,31399,0.5464,0.0333,0.2444,0.0561,0.0106,0.0021,0.0417,0.055,0.0104,23905,10391,27383
Southwest University of Visual Arts-Tucson,AZ,NULL,216,0.5324,0.0648,0.287,0.0093,0.0509,0,0,0,0.0556,49519,34541,34541
Brillare Hairdressing Academy,AZ,NULL,226,0.6637,0.0531,0.1858,0.0044,0.0133,0.0133,0.0531,0,0.0133,NULL,NULL,NULL
Central Arizona College,AZ,NULL,5462,0.4713,0.0751,0.2697,0.0157,0.048,0.0048,0.0368,0.0029,0.0758,9205,2310,10260
Brown Mackie College-Tucson,AZ,NULL,684,0.3596,0.1228,0.4137,0.0175,0.0658,0.0029,0,0,0.0175,24344,13194,13194
Charles of Italy Beauty College,AZ,NULL,83,0.7952,0.0843,0.1205,0,0,0,0,0,0,NULL,NULL,NULL
Cochise College,AZ,NULL,3787,0.4212,0.0562,0.4423,0.0172,0.0074,0.0063,0.0232,0.004,0.0222,9792,1752,6000
Empire Beauty School-Flagstaff,AZ,NULL,53,0.4906,0,0.1698,0,0.1698,0,0.1698,0,0,NULL,NULL,NULL
Empire Beauty School-Chandler,AZ,NULL,113,0.3009,0.2655,0.3009,0.0088,0.0885,0,0.0177,0,0.0177,NULL,NULL,NULL
Cortiva Institute-Tucson,AZ,NULL,143,0.5664,0.049,0.3427,0.021,0,0.007,0,0,0.014,NULL,NULL,NULL
Avalon School of Cosmetology-Mesa,AZ,NULL,273,0.5238,0.1062,0.2784,0.0073,0.0183,0.0183,0.0037,0,0.044,NULL,NULL,NULL
Eastern Arizona College,AZ,NULL,4812,0.6025,0.0426,0.1989,0.0114,0.0829,0.0042,0.0106,0.0064,0.0405,11649,1760,8360
Embry-Riddle Aeronautical University-Prescott,AZ,0.7898,1802,0.6016,0.0172,0.0755,0.0494,0.0055,0.0061,0.076,0.0855,0.0832,45228,31034,31034
Frank Lloyd Wright School of Architecture,AZ,NULL,2,0.5,0,0,0,0,0,0,0.5,0,NULL,NULL,NULL
Glendale Community College,AZ,NULL,16623,0.4524,0.0771,0.3214,0.0413,0.0179,0.0034,0.0208,0.0158,0.0501,12043,1974,7758
Grand Canyon University,AZ,0.548,34643,0.4427,0.2075,0.1452,0.0437,0.009,0.0046,0.0252,0.0001,0.122,31613,17000,17000
Anthem College-Phoenix,AZ,NULL,2238,0.4303,0.269,0.1649,0.0125,0.0478,0.0004,0.0277,0,0.0474,32523,13775,13775
International Academy of Hair Design,AZ,NULL,210,0.3667,0.1571,0.3857,0.0095,0.0286,0.0048,0.0286,0,0.019,NULL,NULL,NULL
Kaplan College-Phoenix,AZ,NULL,93,0.5376,0.0215,0.3656,0.0108,0.043,0,0,0,0.0215,NULL,NULL,NULL
GateWay Community College,AZ,NULL,5653,0.3807,0.1206,0.3004,0.0343,0.0463,0.0016,0.0103,0.0193,0.0865,12673,1974,7758
Mesa Community College,AZ,NULL,20120,0.5103,0.0702,0.2252,0.0395,0.0394,0.0045,0.0173,0.0176,0.0759,12744,1974,7758
ITT Technical Institute-Tucson,AZ,0.9703,409,0.4034,0.0538,0.3716,0.0171,0.0733,0.0049,0.0391,0,0.0367,26194,18048,18048
ITT Technical Institute-Tempe,AZ,0.9796,498,0.4518,0.1044,0.2309,0.0281,0.1305,0,0.0301,0,0.0241,26194,18048,18048
Mohave Community College,AZ,NULL,4759,0.7375,0.0116,0.1769,0.0137,0.0212,0.0069,0.0177,0,0.0145,15718,2040,7656
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,AZ,NULL,2049,0.7213,0.0351,0.0918,0.0024,0.0288,0.0073,0.06,0.0005,0.0527,NULL,NULL,NULL
Dine College,AZ,NULL,1402,0.0036,0,0.0007,0.0029,0.9929,0,0,0,0,11396,805,805
Northern Arizona University,AZ,0.9137,22011,0.628,0.0325,0.1925,0.016,0.031,0.0034,0.0478,0.0424,0.0063,22771,9738,22093
Northland Pioneer College,AZ,NULL,1641,0.468,0.0055,0.0713,0.0085,0.3943,0.0018,0.0079,0,0.0427,13342,1606,7390
Ottawa University-Phoenix,AZ,NULL,335,0.3881,0.0955,0.1373,0.009,0.0209,0,0.003,0,0.3463,NULL,NULL,NULL
Phoenix College,AZ,NULL,10234,0.2753,0.1256,0.4205,0.0341,0.0298,0.0019,0.0139,0.0044,0.0947,12521,1974,7758
Cortiva Institute-Scottsdale,AZ,NULL,87,0.5977,0.046,0.1494,0.0115,0.0345,0,0.0115,0,0.1494,NULL,NULL,NULL
University of Phoenix-Phoenix Campus,AZ,NULL,3044,0.3292,0.0818,0.1961,0.0112,0.0115,0.0072,0.0207,0.0181,0.3242,24167,11320,11320
Pima Community College,AZ,NULL,26600,0.4269,0.0468,0.4159,0.0291,0.0239,0.0032,0.0315,0.0087,0.0141,7367,1724,8048
Pima Medical Institute-Tucson,AZ,NULL,1726,0.4334,0.0603,0.3917,0.0429,0.0139,0.0064,0.0365,0.0023,0.0127,NULL,NULL,NULL
Pima Medical Institute-Albuquerque,NM,NULL,930,0.2398,0.0204,0.5161,0.0129,0.143,0,0.0226,0,0.0452,NULL,NULL,NULL
Prescott College,AZ,0.7293,540,0.7296,0.0148,0.0574,0.0111,0.0204,0,0.0389,0.0111,0.1167,40206,29732,29732
Refrigeration School Inc,AZ,NULL,621,0.4267,0.0741,0.2512,0.0097,0.0596,0.0048,0.0451,0.0016,0.1272,NULL,NULL,NULL
Rio Salado College,AZ,NULL,10217,0.5498,0.1313,0.1929,0.0207,0.0174,0.0016,0.0207,0.0013,0.0644,11811,1974,7758
Roberto-Venn School of Luthiery,AZ,NULL,39,0.8462,0,0.0769,0.0256,0,0.0513,0,0,0,NULL,NULL,NULL
Hair Academy of Safford,AZ,NULL,64,0.5469,0.0313,0.3438,0.0313,0.0313,0,0,0,0.0156,NULL,NULL,NULL
Scottsdale Community College,AZ,NULL,7687,0.607,0.0485,0.1578,0.0265,0.0489,0.0036,0.0222,0.0125,0.0729,12970,1974,7758
South Mountain Community College,AZ,NULL,3980,0.1279,0.2015,0.4462,0.0259,0.0606,0.0013,0.0148,0.0035,0.1183,12343,1974,7758
Arizona Christian University,AZ,0.6076,491,0.5906,0.0509,0.1426,0.0143,0.0081,0.002,0.0346,0.0244,0.1324,34444,21832,21832
Tucson College,AZ,NULL,284,0.331,0.0493,0.4965,0.0211,0.0493,0.0317,0,0,0.0211,NULL,NULL,NULL
Universal Technical Institute of Arizona Inc,AZ,NULL,2337,0.5019,0.0282,0.2383,0.0227,0.0526,0.0398,0.083,0.0004,0.0329,NULL,NULL,NULL
Western International University,AZ,NULL,1369,0.4894,0.1534,0.1512,0.0044,0.0205,0.0051,0.0431,0.0131,0.1198,26118,6000,6000
Empire Beauty School-NW Phoenix,AZ,NULL,172,0.2791,0.2151,0.3895,0.0116,0.0465,0.0116,0,0.0058,0.0407,NULL,NULL,NULL
Yavapai College,AZ,NULL,6072,0.656,0.011,0.1178,0.0105,0.0305,0.0021,0.0133,0.0018,0.1569,12610,1872,7920
University of Arkansas at Little Rock,AR,0.5274,8504,0.5514,0.2656,0.0623,0.023,0.0033,0.0004,0.0642,0.0293,0.0005,19894,7094,16871
University of Arkansas for Medical Sciences,AR,NULL,755,0.7589,0.1325,0.0397,0.0305,0.004,0,0.0278,0.004,0.0026,NULL,NULL,NULL
ABC Beauty College Inc,AR,NULL,32,0.625,0.3438,0,0,0,0,0.0313,0,0,NULL,NULL,NULL
Arkansas Baptist College,AR,NULL,1022,0.0656,0.9247,0.0049,0,0.002,0,0,0.0029,0,20024,8040,8040
Arkansas Beauty School,AR,NULL,37,0.0541,0.9459,0,0,0,0,0,0,0,NULL,NULL,NULL
Arkansas Beauty College,AR,NULL,46,0.913,0.0217,0.0435,0,0,0,0.0217,0,0,NULL,NULL,NULL
Lyon College,AR,0.5898,570,0.7737,0.0421,0.0509,0.0123,0.0193,0,0,0.0298,0.0719,33355,23594,23594
Arkansas College of Barbering and Hair Design,AR,NULL,134,0.0522,0.9478,0,0,0,0,0,0,0,NULL,NULL,NULL
Arkansas College of Barbering and Hair Design,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arthur's Beauty College Inc-Fort Smith,AR,NULL,50,0.54,0.16,0.08,0.08,0.08,0,0.06,0,0,NULL,NULL,NULL
University of Arkansas,AR,0.5858,20776,0.7874,0.0492,0.0644,0.0237,0.012,0.0007,0.0321,0.0276,0.0028,19917,7818,19074
University of Arkansas at Pine Bluff,AR,0.277,2503,0.0416,0.9301,0.012,0.0024,0.0016,0,0.0004,0.0072,0.0048,15414,5938,11638
Arkansas State University-Beebe,AR,NULL,3217,0.8399,0.0472,0.0438,0.0087,0.0034,0.0016,0.0392,0.0143,0.0019,11558,2099,3949
Arkansas State University-Main Campus,AR,0.7551,9325,0.7302,0.1466,0.0203,0.0075,0.0039,0.0006,0.0166,0.0604,0.0139,18809,7510,13120
Arkansas Tech University,AR,0.8503,8734,0.7901,0.0781,0.0503,0.0129,0.0124,0.0005,0.0226,0.0332,0,16126,5598,10374
University of Arkansas at Monticello,AR,NULL,3024,0.5893,0.336,0.0344,0.0023,0.003,0.001,0.0188,0.004,0.0112,16255,5793,11590
Arthur's Beauty College Inc-Jacksonville,AR,NULL,64,0.7969,0.1563,0.0156,0,0,0,0.0156,0,0.0156,NULL,NULL,NULL
Baptist Health Schools-Little Rock,AR,0.8615,918,0.7669,0.171,0.0174,0.0131,0.0076,0.0011,0.0207,0,0.0022,18846,7804,7804
Black River Technical College,AR,NULL,1894,0.9335,0.0338,0.0185,0.0037,0.0037,0,0.0053,0,0.0016,11401,2520,5208
University of Central Arkansas,AR,0.8997,9261,0.6656,0.1867,0.0361,0.0146,0.0057,0.0011,0.0272,0.0331,0.0299,17899,7595,13340
Central Baptist College,AR,0.5407,769,0.7035,0.2211,0.0221,0.0013,0.0091,0.0013,0.0143,0.0273,0,20386,13350,13350
Cossatot Community College of the University of Arkansas,AR,NULL,1129,0.6785,0.1107,0.1585,0.0062,0.0239,0.0009,0.0213,0,0,11753,2212,5062
Crowley's Ridge College,AR,NULL,153,0.9216,0.0523,0.0196,0,0.0065,0,0,0,0,18790,10900,10900
Crowley's Ridge Technical Institute,AR,NULL,286,0.3392,0.6294,0.007,0,0.0105,0.0035,0.0105,0,0,8644,1350,1350
East Arkansas Community College,AR,NULL,922,0.5043,0.4599,0.0174,0.0087,0.0054,0,0.0022,0,0.0022,8767,2520,3270
Eastern College of Health Vocations-Little Rock,AR,NULL,302,0.1821,0.7815,0.0364,0,0,0,0,0,0,NULL,NULL,NULL
Imagine-Paul Mitchell Partner School,AR,NULL,482,0.6971,0.222,0.0456,0.0104,0.0083,0.0021,0.0083,0,0.0062,NULL,NULL,NULL
National Park Community College,AR,NULL,2445,0.798,0.1141,0.0573,0.0098,0.0139,0,0,0,0.007,13836,3020,4490
University of Arkansas Community College-Batesville,AR,NULL,1090,0.8468,0.0367,0.0514,0.0083,0.0092,0.0018,0.0422,0,0.0037,7631,2166,3942
Harding University,AR,0.7628,4428,0.8347,0.0379,0.0294,0.0068,0.0079,0.0007,0.0133,0.0657,0.0036,25475,16170,16170
Harding School of Theology,TN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12006,NULL
Henderson State University,AR,0.6221,3190,0.6583,0.2367,0.0348,0.0066,0.0025,0,0.0511,0.0094,0.0006,18033,7580,13700
Hendrix College,AR,0.8039,1428,0.7143,0.0448,0.0469,0.0518,0.0217,0,0.0189,0.0364,0.0651,50172,37816,37816
